площа	окружність	дов. головної осі	дфаметр Фарета
12107	152141.05	133.95082092285156	124.15760616292751
14417	181169.37	150.46604919433594	135.4854033335209
14705	184788.48	147.9638671875	136.83196814096686
9064	113901.58	110.73767852783203	107.42738586356607
11904	149590.08	126.06363677978516	123.11232083153732
18527	232817.15	159.40447998046875	153.58811492204845
0	0	0	0
14918.5	187471.4	143.73316955566406	137.8217114540794
49826.5	626138.27	295.93695068359375	251.87510828929996
7956	99978.04	118.40980529785156	100.64737362650331
13912	174823.35	141.6027374267578	133.09135413825942
13316.5	167340.07	140.25390625	130.21172910865516
6077	76365.83	94.15496826171875	87.96292806265367
8639	108560.88	130.17506408691406	104.87857944769786
10095	126857.51	121.7909164428711	113.3726298720351
9237	116075.57	118.50761413574219	108.44774628695009
9339.5	117363.62	153.98965454101562	109.04779102785187
8858.5	111319.19	109.79729461669922	106.20260122537695
8784	110383	151.1789093017578	105.75507628929057
8511.5	106958.66	132.4920654296875	104.10176936543075
8968	112695.21	128.01937866210938	106.85697093397762
11653.5	146442.2	133.97576904296875	121.81008593122007
16415	206276.97	153.09642028808594	144.5691084804347
11661.5	146542.73	136.3238067626953	121.85188940237694
10615	133392.02	130.61932373046875	116.25591497796468
11708.5	147133.35	130.4334259033203	122.09719574802548
14879.5	186981.31	172.72007751464844	137.64144654095603
11513	144676.62	137.37429809570312	121.07355978303409
9142	114881.76	122.48384857177734	107.8886273801315
12478.5	156809.46	148.243408203125	126.04808470967629
15351	192906.36	140.91835021972656	139.80522254633223
11737	147491.49	133.8557586669922	122.24570559556113
10219	128415.74	133.30126953125	114.06680019904401
7361.5	92507.34	111.99442291259766	96.81401194335405
15104	189802.46	143.44189453125	138.6759174611075
17273	217058.92	159.21246337890625	148.29924698463734
9997.5	125632.29	132.53684997558594	112.82381108830613
14742.5	185259.72	157.04928588867188	137.00632827814246
11704.5	147083.08	134.71681213378906	122.0763378028384
24150	303477.85	251.45309448242188	175.35317221354788
14010.5	176061.14	139.7653350830078	133.56168103730948
11776	147981.58	134.3717803955078	122.44863771721299
15474	194452.02	156.4207305908203	140.36420026214628
11644	146322.82	134.92007446289062	121.76042566817938
12583	158122.64	132.92733764648438	126.5747731240414
17127	215224.23	154.55490112304688	147.6711674047413
7996	100480.7	107.8382339477539	100.90006640088183
7692.5	96666.81	105.83143615722656	98.96663679177564
9729.5	122264.5	143.4406280517578	111.30132142297667
14949.5	187860.96	146.7007598876953	137.96483093172085
11045.5	138801.85	139.40220642089844	118.58991268810446
14450.5	181590.34	141.89474487304688	135.6427220354836
14258.5	179177.6	146.26907348632812	134.73858411237043
13311	167270.96	143.64157104492188	130.18483621363032
9212	115761.41	127.44146728515625	108.30088959053069
11863	149074.85	143.6551971435547	122.90012497631251
15388	193371.31	151.30487060546875	139.9736050631857
13985	175740.69	156.127197265625	133.44008030993257
12597	158298.57	142.3707733154297	126.64516787082263
13337	167597.68	138.23773193359375	130.31191736803225
10134	127347.6	120.44609069824219	113.59141493240648
12566	157909.01	143.63607788085938	126.48924112011288
12418	156049.19	132.50025939941406	125.7421515106261
14044.5	176488.39	137.65591430664062	133.72364333218337
20176	253539.09	179.517333984375	160.27751262911664
10818	135943	151.8216552734375	117.3622826761008
15837.5	199019.89	158.68560791015625	142.00327915137433
12119	152291.85	140.11949157714844	124.21912108305
27525	345889.35	197.2434844970703	187.20555138359373
9001	113109.9	137.31898498535156	107.05339388436595
13835	173855.74	136.68174743652344	132.7225267293046
12009	150909.54	151.54051208496094	123.65408886375157
16522	207621.58	163.8839569091797	145.03952481346028
15231	191398.39	165.99964904785156	139.2577161447841
10671.5	134102.02	141.09634399414062	116.56489952657827
8487.5	106657.07	119.40437316894531	103.9548971234145
14678.5	184455.47	149.3622283935547	136.70861954315495
14281	179460.34	150.609375	134.84485136023125
16103	202356.27	185.1943817138672	143.18860425631058
10059	126405.12	140.3089141845703	113.17029902094896
20686.5	259954.23	178.44931030273438	162.29254401285337
13162	165398.57	149.03875732421875	129.45415747593512
12015	150984.94	146.93338012695312	123.68497536076474
14353	180365.12	141.1577911376953	135.1843451941969
14820	186233.61	162.7953643798828	137.3659712336906
15456.5	194232.11	153.85125732421875	140.28480681527506
9325	117181.41	117.95170593261719	108.9631073100221
21870	274826.53	190.44345092773438	166.8704552740179
13546	170224.06	165.17677307128906	131.3289871771747
16964	213175.91	154.29705810546875	146.9667841278678
9814	123326.36	126.39115905761719	111.78359849294031
13011	163501.05	144.23561096191406	128.70943911209156
14666	184298.39	145.02224731445312	136.65039759578417
12365	155383.17	129.0927734375	125.47353095633473
13384	168188.3	139.1207275390625	130.5413270452519
12083	151839.46	140.06192016601562	124.03448479771653
15117	189965.82	145.1189727783203	138.73558374750672
11317	142213.62	148.67434692382812	120.03854350902395
15825	198862.81	153.4913787841797	141.94722891072567
14108	177286.36	141.61480712890625	134.02560761706576
9399.5	118117.6	113.44871520996094	109.39750957283334
10930	137350.43	124.70767974853516	117.96825091504633
12669.5	159209.63	138.90963745117188	127.00908791114966
14217.5	178662.37	145.68844604492188	134.54472575048112
13480	169394.68	145.00921630859375	131.0086602596561
12642.5	158870.34	135.07540893554688	126.8736810544815
9814	123326.36	118.3785629272461	111.78359849294031
14960.5	187999.19	143.6359100341797	138.0155795879958
16006	201137.33	166.14202880859375	142.75668864550977
13139	165109.54	149.75399780273438	129.34100037604202
13397	168351.67	157.72021484375	130.60470964255836
11495	144450.43	137.082275390625	120.9788765311147
21535	270616.79	201.7067108154297	165.58748019059814
11871.5	149181.67	139.33509826660156	122.94414689330877
11014	138406.01	126.22027587890625	118.42069221936292
11455	143947.78	134.52426147460938	120.7682035344622
19357	243247.24	165.96890258789062	156.99075726754918
12509	157192.73	144.94879150390625	126.20203431439666
15367	193107.42	146.4304656982422	139.8780614819395
12699	159580.34	137.14488220214844	127.15686760294086
12421	156086.89	135.0834197998047	125.7573392894246
11508.5	144620.08	137.25079345703125	121.0498959131507
13912	174823.35	150.8843536376953	133.09135413825942
15508	194879.28	148.5027618408203	140.5183221496503
12437	156287.95	139.06997680664062	125.83830981808052
12052	151449.9	144.5309600830078	123.87527191957312
12933	162520.87	168.4251251220703	128.3230572892489
12587	158172.91	136.00404357910156	126.59488990311375
14042	176456.98	164.3153076171875	133.71174102213743
13413	168552.73	144.95497131347656	130.6826767920398
10562	132726.01	124.92977142333984	115.9653227111139
14952	187892.37	158.0200958251953	137.97636635627188
12768	160447.42	143.71571350097656	127.50185295586319
6536.5	82140.08	113.858642578125	91.22790299114297
4398.5	55273.18	92.47840881347656	74.83544706566276
10618	133429.72	148.49459838867188	116.27234187887487
7006	88039.99	108.47354888916016	94.44742585382912
8250	103672.56	124.33531188964844	102.49012754438884
7345.5	92306.28	124.9559326171875	96.70874353362336
9412.5	118280.96	132.85108947753906	109.47313467157008
8712.5	109484.5	120.75016784667969	105.32378427261861
12940	162608.84	141.0435791015625	128.35778008704034
10195	128114.15	126.69965362548828	113.93277473394117
10011.5	125808.22	119.68761444091797	112.90277986885921
9162	115133.09	132.79269409179688	108.00657715557679
10473	131607.6	131.77490234375	115.47570199834838
11736.5	147485.21	139.7276611328125	122.24310171451081
9475.5	119072.64	126.6329574584961	109.83888795020657
16746.5	210442.73	166.62722778320312	146.02159441639927
7985	100342.47	124.29407501220703	100.83063901766305
10542	132474.68	133.85552978515625	115.85547583346282
8617	108284.42	122.00926208496094	104.74495289503403
6487.5	81524.33	93.52454376220703	90.88532085254126
4	50.27	2.4494898319244385	2.256758334191025
9875	124092.91	134.69166564941406	112.13046198183496
7925	99588.49	124.39250946044922	100.45109950630787
6089.5	76522.91	109.47688293457031	88.0533486453796
5929.5	74512.29	92.94618225097656	86.88885935784373
