

площа	окружність	дов. головної осі	дфаметр Фарета
3098	38930.62	76.31692504882812	62.805223585220475
4136	51974.51	82.0533447265625	72.5680284769032
4298	54010.26	85.53375244140625	73.97556058099005
4218.5	53011.23	97.6353988647461	73.28820518654611
5442	68386.19	100.51344299316406	83.24043249796793
3091	38842.65	77.23281860351562	62.73422855807178
6242	78439.29	101.69296264648438	89.14909555478891
3744	47048.49	83.18325805664062	69.04352870101911
3399	42713.09	80.81446075439453	65.78556994170391
5030	63208.84	98.87196350097656	80.0274634735968
4430	55669.02	92.20545196533203	75.10293724733255
4583	57591.68	82.39185333251953	76.38885280930229
4501.5	56567.52	80.76242065429688	75.70659027208487
6974	87637.87	105.31285095214844	94.2314840431956
5155	64779.64	89.51691436767578	81.01573830503406
3267.5	41060.62	77.0493392944336	64.50046676127347
3414	42901.59	71.25267028808594	65.93056806767136
3464	43529.91	76.88397216796875	66.41160879667503
4215	52967.25	78.12262725830078	73.2577960428698
4514	56724.6	82.90304565429688	75.81163040678207
2770	34808.85	73.69303131103516	59.38748638321377
5639	70861.76	96.81133270263672	84.73368747293831
3952.5	49668.58	81.35208892822266	70.93996969667897
2943	36982.83	70.56642150878906	61.21391982348119
3747	47086.19	94.70825958251953	69.07118483219072
4311	54173.62	84.94119262695312	74.08735166918363
4271.5	53677.25	82.2818832397461	73.74715394736428
6800	85451.32	114.01127624511719	93.04852983362557
3778	47475.75	82.19198608398438	69.35631910654894
3234	40639.64	77.12157440185547	64.16896981932557
4121.5	51792.3	84.0611801147461	72.44071219712002
4442	55819.82	88.44554901123047	75.20458800973245
3778	47475.75	75.72041320800781	69.35631910654894
3812	47903	86.49996948242188	69.66770517628983
3806.5	47833.89	81.64042663574219	69.61742832821676
4714	59237.87	86.19725036621094	77.47290632138153
4153.5	52194.42	87.26750183105469	72.72138921292344
5086	63912.56	97.02570343017578	80.47171133089589
3319	41707.78	69.47679138183594	65.0067846380361
3991.5	50158.67	75.73216247558594	71.2890990461403
4276	53733.8	78.9498062133789	73.78598981708896
