площа	окружність	дов. головної осі	дфаметр Фарета
4063.5	51063.45	76.27336883544922	71.92919358668867
4725	59376.1	113.78522491455078	77.56324418739615
3659	45980.35	80.76468658447266	68.25528180431138
4940.5	62084.15	102.37970733642578	79.3122939446595
4860.5	61078.84	101.40570831298828	78.66753337422789
5953	74807.6	103.3336181640625	87.06086956726554
5776.5	72589.64	111.60064697265625	85.76052839251089
2920	36693.8	78.8768081665039	60.97425252208243
3801	47764.77	69.84764862060547	69.56711514457355
1492.5	18755.31	53.850830078125	43.592545469578056
2238	28123.54	62.57966995239258	53.38080273953638
1573	19766.9	55.08262634277344	44.752718396410415
1889.5	23744.16	60.56711196899414	49.04881364291179
1352.5	16996.02	51.08300018310547	41.49766841949446
1617	20319.82	56.24922561645508	45.37431370100002
2644.5	33231.77	71.19444274902344	58.02656267652029
2627.5	33018.14	71.18628692626953	57.83975193404308
1770	22242.48	58.658851623535156	47.4724551101082
2581.5	32440.09	70.6026382446289	57.33121213382657
1292	16235.75	50.258811950683594	40.55891383898033
1292	16235.75	50.258811950683594	40.55891383898033
2552.5	32075.66	70.15621948242188	57.008279556012766
2776.5	34890.53	73.10726928710938	59.45712401350388
6820	85702.65	117.95943450927734	93.18526543984198
5997.5	75366.81	110.54832458496094	87.38566340967571
6150	77283.18	111.98253631591797	88.48967849484623
5927.5	74487.16	113.91642761230469	86.87420446494849
5009	62944.95	101.233642578125	79.8602334054843
4697	59024.24	101.35895538330078	77.33308568537181
5897	74103.89	109.7544174194336	86.65041024313304
5266	66174.51	107.21917724609375	81.88332823337952
6113.5	76824.51	115.7528076171875	88.22669639478981
4544.5	57107.87	79.50033569335938	76.06731959947679
6317	79381.76	101.49409484863281	89.68307646424726
4669	58672.38	101.04473114013672	77.1022401384582
3546	44560.35	75.16535949707031	67.19306084433784
5824	73186.54	109.17036437988281	86.11240972436893
5822.5	73167.69	112.86363983154297	86.10131967177091
5256.5	66055.13	92.47176361083984	81.80943507261483
8915	112029.19	131.374267578125	106.54074592058184
2940	36945.13	68.96444702148438	61.18271211315643
4535	56988.49	86.09862518310547	75.9877709593719
4403.5	55336.01	88.17351531982422	74.87796962552663
4109	51635.22	80.61341094970703	72.33077691630848
3976.5	49970.17	82.58277130126953	71.15502125387479
3453.5	43397.96	87.5306167602539	66.31087970870907
4009.5	50384.86	83.6954116821289	71.44966028341656
3028	38050.97	64.43480682373047	62.091620541406975
3791.5	47645.39	86.2238998413086	69.48012473983744
3269.5	41085.75	80.05579376220703	64.52020374666849
5995.5	75341.68	107.69564819335938	87.37109184655796
3953	49674.86	82.29972839355469	70.94445658638946
4697	59024.24	95.66449737548828	77.33308568537181
4481	56309.91	93.1965560913086	75.53400823442553
6803	85489.02	104.5575180053711	93.06905298128541
5757.5	72350.88	99.10330200195312	85.61937093212435
7684	96559.99	111.3779067993164	98.91194397920299
5999	75385.66	92.28707885742188	87.39659048765141
5090.5	63969.11	119.95896911621094	80.50730341077352
4288.5	53890.88	89.4376449584961	73.8937601397895
5486	68939.11	93.98465728759766	83.57626542516184
5061	63598.4	90.42762756347656	80.27369018492085
6188.5	77766.98	108.82613372802734	88.76622624959087
6093.5	76573.18	99.1435317993164	88.0822636280637
7676.5	96465.74	110.99404907226562	98.86366048836892
3723.5	46790.88	85.21714782714844	68.85424783425768
3655	45930.08	83.88025665283203	68.21796344077578
5405	67921.23	101.61647033691406	82.95697522989586
4416	55493.09	75.09607696533203	74.98417052652165
3882	48782.65	79.3375244140625	70.30445158495941
5146	64666.54	98.1146240234375	80.94498562114362
8715.5	109522.2	128.0211944580078	105.3419159315954
7328.5	92092.65	108.6176986694336	96.5967701509302
4694	58986.54	86.91079711914062	77.30838520488481
6780	85199.99	98.24192810058594	92.91159299734562
12427	156162.29	145.4577178955078	125.78770934564261
10268.5	129037.78	120.52561950683594	114.3427315797249
8562.5	107599.55	120.49874877929688	104.41318691523036
8887	111677.34	106.4609375	106.37330414188229
9968.5	125267.87	118.77921295166016	112.66005681559223
9258.5	116345.74	114.58528137207031	108.5738841753877
7488	94096.98	103.09659576416016	97.64229468307727
9859.5	123898.13	129.6002655029297	112.04242630055963
7352	92387.96	112.25993347167969	96.75152263862785
7209	90590.97	95.81087493896484	95.80596994966331
8159	102529.02	118.10515594482422	101.92331159010774
7104.5	89277.78	107.97647094726562	95.10904449930598
6784	85250.26	106.37229919433594	92.93899650568292
7386	92815.21	117.99793243408203	96.9749827399516
6043.5	75944.86	87.76895904541016	87.7201412938155
6635	83377.87	102.95508575439453	91.91269977167359
9173	115271.32	125.44171905517578	108.0713946604542
9822	123426.89	129.6254425048828	111.82915008345887
11688	146875.74	135.4408416748047	121.99026108204123
10953	137639.46	141.9497833251953	118.09230598766474
10419	130929.02	141.14114379882812	115.17761421645987
7678.5	96490.88	125.91167449951172	98.87653839131377
