площа	окружність	дов. головної осі	дфаметр Фарета

12336	155018.75	156.3155059814453	125.32630619248685
14887.5	187081.84	176.5561981201172	137.6784432009773
8296	104250.61	140.3988494873047	102.77546041309137
14075.5	176877.95	177.87835693359375	133.87114405994961
11511.5	144657.78	151.2539825439453	121.06567234034108
20694.5	260054.76	202.6278533935547	162.32392232361138
6267.5	78759.73	134.98828125	89.33100719586471
10272.5	129088.04	149.60317993164062	114.3649999925325
12788.5	160705.03	157.19686889648438	127.60416888897332
6868	86305.83	117.49152374267578	93.51261515560934
6546.5	82265.75	115.29212951660156	91.29765977071231
7587	95341.05	122.93695831298828	98.28564710020319
8441	106072.73	129.77999877929688	103.66974002624637
8465	106374.33	130.55181884765625	103.81701568713653
8002.5	100562.38	120.05811309814453	100.94106922726318
7496.5	94203.8	121.89746856689453	97.6976982692384
8525	107128.31	129.6907958984375	104.18429401242426
5965	74958.4	107.72344970703125	87.14857362197758
7807	98105.66	124.31973266601562	99.7004569986889
8173	102704.95	126.2557373046875	102.01071904030715
5734	72055.57	105.80882263183594	85.44445885785352
5514.5	69297.25	103.74323272705078	83.79307530722366
6147.5	77251.76	109.15156555175781	88.47169095964773
10333.5	129854.59	142.60806274414062	114.70405762448338
7181.5	90245.39	120.30057525634766	95.6230609765007
8755	110018.57	131.1636505126953	105.5803590359322
5967.5	74989.82	105.25948333740234	87.1668341928688
8920	112092.03	132.4683074951172	106.5706185542603
7422.5	93273.89	121.36711883544922	97.21430203831504
12833.5	161270.52	150.34205627441406	127.82847764625342
11694	146951.14	151.7476806640625	122.02156873328991
6810.5	85583.27	114.38215637207031	93.12034106154694
6531.5	82077.25	148.1442413330078	91.19300459156786
3982.5	50045.57	117.50732421875	71.2086826651623
7626.5	95837.43	121.70608520507812	98.54116595577058
5838.5	73368.75	107.32320404052734	86.21954002391945
9638	121114.68	145.5966339111328	110.77672468599845
7974.5	100210.52	132.38270568847656	100.76432280073416
10947	137564.06	146.8608856201172	118.05995636207828
7032	88366.72	117.79621887207031	94.62251570624015
7687	96597.69	121.84725189208984	98.93125077739185
7311	91872.74	121.91471862792969	96.48136769117018
11004.5	138286.63	148.68409729003906	118.36960999360477
9146	114932.03	134.43197631835938	107.91222764889899
8520.5	107071.76	128.65261840820312	104.15679306178716
9003.5	113141.32	139.2064208984375	107.06825972725548
6708	84295.21	134.6949005126953	92.41694036313619
13405	168452.2	188.58169555664062	130.6436990335732
8625.5	108391.23	136.07582092285156	104.79660153417737
11215	140931.85	172.04837036132812	119.49636602928497
10051	126304.59	146.78076171875	113.1252874654165
6225	78225.66	113.5459213256836	89.02761462589227
7802.5	98049.11	129.58055114746094	99.67171889656618
9427	118463.18	142.36618041992188	109.55742415837632
11099.5	139480.43	160.67872619628906	118.87944450908213
15966.5	200640.96	189.29183959960938	142.5804306032703
10252.5	128836.71	154.41773986816406	114.25361452661905
9077	114064.95	145.3326873779297	107.50439687548166
6777.5	85168.58	127.28073120117188	92.8944616995145
10049	126279.46	146.94259643554688	113.1140317778641
11260	141497.33	155.45632934570312	119.73586460922196
10545.5	132518.66	150.5586395263672	115.87470655412534
7120.5	89478.84	128.2468719482422	95.21608151088095
11162	140265.83	160.81654357910156	119.21367286655456
7363.5	92532.47	130.8831787109375	96.82716244761782
7789.5	97885.74	129.4508056640625	99.58865112910482
7108	89321.76	123.79592895507812	95.1324691363445
6564	82485.66	119.13246154785156	91.4196060571342
10918	137199.63	153.01593017578125	117.9034747130826
6566.5	82517.07	118.767578125	91.43701367883493
9039	113587.42	144.96092224121094	107.27913238305544
6363.5	79966.1	116.96553039550781	90.01255380735627
9874.5	124086.63	145.54759216308594	112.12762320002759
7263.5	91275.83	105.5921630859375	96.1674343693532
7958.5	100009.46	130.74534606933594	100.6631855087787
7780	97766.36	131.7936553955078	99.5279039166382
8200.5	103050.52	135.22019958496094	102.18219456735456
16234.5	204008.74	183.65818786621094	143.77206748531856
11459	143998.04	160.16282653808594	120.78928736903877
8233.5	103465.21	130.81309509277344	102.38758612047147
7075.5	88913.36	121.39710235595703	94.91473225360562
6642.5	83472.12	111.6344985961914	91.96463274489449
9099.5	114347.69	137.90472412109375	107.6375549579124
6825	85765.48	119.77820587158203	93.21941800299702
7739.5	97257.43	131.879150390625	99.26851190824708
10385	130501.76	152.3813018798828	114.98953288049597
8109.5	101906.98	130.06170654296875	101.6136609321296
6827.5	85796.9	119.40425109863281	93.23648959328811
6363.5	79966.1	114.92377471923828	90.01255380735627
8094.5	101718.49	123.12442779541016	101.51964093149057
5738	72105.83	109.51943969726562	85.47425640326077
4619	58044.07	98.08686828613281	76.68828761376614
6363.5	79966.1	114.97451782226562	90.01255380735627
8576	107769.19	133.17669677734375	104.49546562243147
7419.5	93236.19	124.61632537841797	97.19465418510701
7862	98796.81	132.81544494628906	100.05103348145809
7547	94838.4	125.27600860595703	98.02621508615067
8652.5	108730.52	134.47012329101562	104.96049333354429
5612	70522.47	108.07610321044922	84.53058810308688
9306	116942.64	143.89291381835938	108.8520427153548
8183	102830.61	135.4386749267578	102.0731071074445
8789	110445.83	135.42636108398438	105.7851707881466
8105	101850.43	129.76675415039062	101.5854640688248
6255.5	78608.93	114.2503433227539	89.24544790683058
5668.5	71232.47	108.8336181640625	84.95503728050073
5384	67657.34	105.96678924560547	82.79566237946355
