площа	окружність	дов. головної осі	дфаметр Фарета

999.5	12560.09	41.682708740234375	35.67356058711823
938	11787.26	40.17817306518555	34.558626896356614
619	7778.58	32.9571647644043	28.07374713484229
1026.5	12899.38	42.41792297363281	36.15218378840543
1155	14514.16	44.824520111083984	38.34829427978659
1136	14275.4	44.418006896972656	38.03156745151513
1451	18233.8	50.09012985229492	42.982212360588434
559	7024.6	31.337753295898438	26.678472698169138
1029	12930.8	42.288570404052734	36.19618062078487
1992	25032.21	58.481719970703125	50.36162401186487
1114.5	14005.22	44.13720703125	37.669954507635644
833	10467.79	37.92021942138672	32.56698544176895
758.5	9531.59	36.44602584838867	31.076553777431965
887	11146.37	39.24095916748047	33.60600357347016
1056	13270.09	42.97907638549805	36.667982753900326
1917.5	24096.02	57.5649299621582	49.41089785694725
2607.5	32766.81	66.94085693359375	57.61919916917395
886	11133.8	39.35667419433594	33.5870545989873
1414	17768.85	49.417240142822266	42.430657740076576
1577	19817.17	52.143802642822266	44.809583372838354
952	11963.18	40.38961410522461	34.815571898044055
721	9060.35	35.00429916381836	30.29860907292697
814	10229.03	37.25816345214844	32.19343084255579
1422.5	17875.66	51.0606575012207	42.55799868868095
607.5	7634.07	32.3626594543457	27.81174254566965
682.5	8576.55	34.47903060913086	29.47856830447755
1077.5	13540.26	43.75789260864258	37.03937917206683
518	6509.38	30.06026268005371	25.68147355921802
1139.5	14319.38	44.542232513427734	38.090109756020894
866.5	10888.76	38.87227249145508	33.215388986327085
1006	12641.77	41.87089920043945	35.78936967876878
575.5	7231.95	31.741424560546875	27.069343508757026
803	10090.8	37.43439483642578	31.975167777860612
1176.5	14784.34	45.52680206298828	38.70356991778561
1421	17856.81	49.062355041503906	42.53555445822549
496.5	6239.2	29.34117889404297	25.142860496789307
1238	15557.17	46.30121612548828	39.702273944726784
951	11950.62	40.46166229248047	34.79728160421644
1024	12867.96	42.155094146728516	36.1081333470564
1173	14740.35	45.29477310180664	38.64595691627193
854	10731.68	38.751922607421875	32.97493853222215
719.5	9041.5	35.5124626159668	30.26707538625015
1372	17241.06	48.66250228881836	41.795749250092925
836.5	10511.77	38.236351013183594	32.635331761312976
939	11799.82	40.34732437133789	34.57704343211429
1237	15544.6	46.370941162109375	39.686235861283144
959	12051.15	40.80495834350586	34.943335894001606
1778.5	22349.29	55.522865295410156	47.586306121735134
1529	19213.98	51.69896697998047	44.12236693447059
1297	16298.58	47.20073318481445	40.63731892634535
1233.5	15500.62	46.409400939941406	39.63005145632319
1521.5	19119.73	51.386661529541016	44.014020122167324
1521	19113.45	51.4104118347168	44.00678751672499
2298	28877.52	62.78824234008789	54.09163034889413
1497	18811.86	51.03288650512695	43.65821341361255
1299.5	16330	47.705360412597656	40.67646479702168
711	8934.69	34.906246185302734	30.087760240780646
1397	17555.22	49.18545150756836	42.17482239435066
781.5	9820.62	36.8780517578125	31.544202386659418
1094.5	13753.89	43.38578414916992	37.33042568351767
914.5	11491.95	40.01945114135742	34.12297706326789
1001	12578.94	41.76764678955078	35.700319106135424
24721	310653.25	199.2919464111328	177.4140771906163
24134.5	303283.07	229.6246795654297	175.29689042424792
21232.5	266815.46	189.10186767578125	164.42037171101805
13093	164531.49	168.65501403808594	129.11438866066587
18661.5	234507.33	159.0873260498047	154.1446066655439
24377.5	306336.7	219.84823608398438	176.17717503065325
28899.5	363161.83	223.2495574951172	191.82279901793174
23010.5	289158.47	197.201904296875	171.16623073529564
69357	871565.77	300.3224792480469	297.1667462960765
